date_unix, main_temp, main_pressure, main_humidity, main_temp_min, main_temp_max, wind_speed, wind_deg, clouds_all, weather_main, weather_description
1438635004,305.56,1011,49,304.82,306.15,6.2,200,Clouds,broken clouds
1438638462,305.21,1011,46,304.82,306.15,7.2,200,Clouds,broken clouds
1438642220,304.73,1012,66,303.15,306.15,3.33,219,Clear,sky is clear
1438645791,303.25,1011,49,300.37,305.15,5.1,210,Clouds,scattered clouds
1438649292,300.94,1011,62,299.26,303.15,3.1,190,Clouds,scattered clouds
1438652893,299.26,1013,94,297.59,300.15,3.76,194.504,Clear,sky is clear
1438656441,298.11,1013,100,296.48,300.15,3.76,194.504,Clear,sky is clear
1438660126,297.5,1012,78,295.93,299.15,3.6,180,Clouds,few clouds
1438663757,298.07,1013,88,295.15,300.15,1.5,190,Clear,sky is clear
1438667447,298.03,1012,78,295.15,299.82,4.6,200,Clear,sky is clear
1438671052,298.84,1012,78,298.15,299.26,3.1,200,Clouds,scattered clouds
1438674658,297.91,1012,83,295.93,300.15,3.6,200,Clouds,broken clouds
1438678247,297.37,1014,100,295.93,299.15,2.6,200,Clear,sky is clear
1438685324,296.69,1015,100,295.15,298.15,2.96,229,Clear,sky is clear
1438688976,297.09,1015,94,295.37,298.15,2.6,190,Clear,sky is clear
1438692655,298.95,1015,88,298.15,300.15,3.6,230,Clear,sky is clear
1438696189,300.7,1016,79,300.15,302.15,4.1,220,Clear,sky is clear
1438699857,302.01,1015,66,300.93,303.15,5.1,210,Clouds,scattered clouds
1438699857,302.01,1015,66,300.93,303.15,5.1,210,Clouds,scattered clouds
